hardware,seed,K,sample_id,rel_u_phi,rel_u_psi,rel_sol,rel_phi,rel_psi,balance_max_abs,artifact_rel_sol_abs_difference
nvidia_a40,0,2,0,0.02209179752800665,0.01949715320819405,0.012362961610902515,0.25832832587882903,0.2699691586108832,8.881784197001252e-16,1.5612511283791264e-17
nvidia_a40,0,2,1,0.058261948570233486,0.04110748850871532,0.027153723617898525,0.45246865563290245,0.45735963755535947,4.440892098500626e-16,2.42861286636753e-17
nvidia_a40,0,2,2,0.012435820775172546,0.01592236918662132,0.007651813639283439,0.35303154033563466,0.35250366968253627,1.3322676295501878e-15,3.903127820947816e-17
nvidia_a40,0,2,3,0.022537484801761473,0.015680593868906148,0.008506248071365463,0.4814117031591661,0.4769766631853008,1.7763568394002505e-15,6.245004513516506e-17
nvidia_a40,0,2,4,0.05434981507885884,0.034774875907244256,0.026899009476086165,0.3776400643062808,0.3601768141257161,8.881784197001252e-16,1.6653345369377348e-16
nvidia_a40,0,2,5,0.04674379945798923,0.051825198778415085,0.026459991342169198,0.23826810750421296,0.23544114813627806,4.440892098500626e-16,3.469446951953614e-18
nvidia_a40,0,2,6,0.0474361019382518,0.03995349388270337,0.023809921362754713,0.30513598170178347,0.37879963331593697,4.440892098500626e-16,2.1163626406917047e-16
nvidia_a40,0,2,7,0.05691059692260928,0.03662623352789879,0.02369221206920525,0.429995997613,0.38082599333494765,4.3194614551822497e-16,1.491862189340054e-16
nvidia_a40,0,2,8,0.015524653267108352,0.023435887238068335,0.009878166008628269,0.4618526951484071,0.37369380208536745,1.7763568394002505e-15,6.938893903907228e-17
nvidia_a40,0,2,9,0.01169699469038352,0.01184780515787526,0.007770974679342499,0.329434203891271,0.353430305967852,1.5543122344752192e-15,8.673617379884035e-19
nvidia_a40,0,2,10,0.018498835185886894,0.017309177674035812,0.012129150034341268,0.30454731536558116,0.32259962560569183,5.551115123125783e-16,3.2959746043559335e-17
nvidia_a40,0,2,11,0.02852838502657977,0.032080004836456025,0.012936622975267407,0.34508294486598323,0.32560245861614556,6.661338147750939e-16,1.0755285551056204e-16
nvidia_a40,0,2,12,0.022165112640744205,0.0261009926471745,0.013477362909513046,0.24009129398550044,0.21571443472233676,8.881784197001252e-16,5.377642775528102e-17
nvidia_a40,0,2,13,0.01628565599530418,0.01618712832434037,0.008785503055819693,0.3459050610176823,0.3431800745520692,1.3322676295501878e-15,6.938893903907228e-18
nvidia_a40,0,2,14,0.07444695272770327,0.07532912417183561,0.038138818917372135,0.26991937962429685,0.2688766399671235,2.498001805406602e-16,3.469446951953614e-17
nvidia_a40,0,2,15,0.1166082054604173,0.08360817370777951,0.05185775949117951,0.3715034076289188,0.3326429391047433,2.220446049250313e-16,9.020562075079397e-17
nvidia_a40,0,2,16,0.028464144945253324,0.026046641318021035,0.014535897697501209,0.15786827065612133,0.27833891069783884,4.440892098500626e-16,8.673617379884035e-18
nvidia_a40,0,2,17,0.025634731497664043,0.0250609623548151,0.011378157901612524,0.3317949282010331,0.260572793545145,6.661338147750939e-16,2.42861286636753e-17
nvidia_a40,0,2,18,0.009691144637466502,0.014499316827328048,0.00842627425899263,0.26889081705513895,0.32063718834629973,8.881784197001252e-16,3.122502256758253e-17
nvidia_a40,0,2,19,0.04425318238884357,0.034210176480459,0.020851297518665966,0.21872188065346973,0.2315589051007576,8.881784197001252e-16,1.3530843112619095e-16
nvidia_a40,0,2,20,0.04191703028427244,0.025595591610549893,0.015217473921526158,0.3325773026196193,0.39249332679710325,4.440892098500626e-16,4.163336342344337e-17
nvidia_a40,0,2,21,0.012392881043788754,0.014762191468242702,0.007180218390912978,0.34489514031421403,0.2977687606694786,1.3322676295501878e-15,2.2551405187698492e-17
nvidia_a40,0,2,22,0.013828639516703259,0.015095213456158779,0.007864411159132743,0.29849972617839965,0.36547096255094047,8.881784197001252e-16,5.724587470723463e-17
