hardware,seed,K,sample_id,rel_u_phi,rel_u_psi,rel_sol,rel_phi,rel_psi,balance_max_abs,artifact_rel_sol_abs_difference
nvidia_a40,2,2,0,0.02520267386561584,0.020416405772177685,0.012886844149905478,0.3536738969697513,0.34110313726456537,8.881784197001252e-16,2.0816681711721685e-17
nvidia_a40,2,2,1,0.04718616528891819,0.04207732606675862,0.02420676266977413,0.4126842383635553,0.4134785069943491,4.440892098500626e-16,3.122502256758253e-17
nvidia_a40,2,2,2,0.016686617616343536,0.01807407794879899,0.009051326992183795,0.36555624962137867,0.3652758591628447,1.5543122344752192e-15,9.540979117872439e-17
nvidia_a40,2,2,3,0.026418621974365505,0.017564577938563503,0.009716243148424387,0.4518384695148834,0.4475298525060369,8.326672684688674e-16,8.673617379884035e-17
nvidia_a40,2,2,4,0.053260934626668865,0.03576905210565516,0.026046315218193457,0.3781847419791349,0.36300102721650523,4.440892098500626e-16,5.551115123125783e-17
nvidia_a40,2,2,5,0.03989808717066771,0.04512744496193365,0.02183198073639647,0.26498898084529,0.2724570932102242,4.440892098500626e-16,6.938893903907228e-17
nvidia_a40,2,2,6,0.060288436621318074,0.04409194177460934,0.026096758513213938,0.41453050696239413,0.5060164990156988,4.440892098500626e-16,3.8163916471489756e-17
nvidia_a40,2,2,7,0.0648905344185916,0.037968913143737744,0.026399176865729675,0.3839225852363906,0.33642717697844726,4.3194614551822497e-16,7.632783294297951e-17
nvidia_a40,2,2,8,0.01912676408034618,0.024238442420521814,0.01035391333424806,0.43245938015273555,0.3510714322119405,6.661338147750939e-16,6.071532165918825e-17
nvidia_a40,2,2,9,0.01153603820489446,0.012368384804656256,0.007650968936976733,0.5162736488788664,0.534743148865351,1.9984014443252818e-15,3.2959746043559335e-17
nvidia_a40,2,2,10,0.01784729872029091,0.017553832343454718,0.010682010775857748,0.5413349451184459,0.5465570183120035,1.3322676295501878e-15,4.85722573273506e-17
nvidia_a40,2,2,11,0.03152105207272636,0.03176478630676665,0.01463546072500066,0.3441994223892775,0.3263274878686186,8.881784197001252e-16,3.9898639947466563e-17
nvidia_a40,2,2,12,0.022833717265050464,0.025270372265050946,0.013255953565058863,0.43564887562845234,0.3473719569482373,8.881784197001252e-16,3.642919299551295e-17
nvidia_a40,2,2,13,0.012638517887025504,0.016870240993618783,0.008512526953203847,0.363545203750075,0.36075509508269404,1.3322676295501878e-15,4.683753385137379e-17
nvidia_a40,2,2,14,0.07254052650432025,0.06975547158406245,0.034731679727875234,0.4136525475861529,0.40868401362712553,4.440892098500626e-16,3.469446951953614e-17
nvidia_a40,2,2,15,0.09302605242105812,0.08136282465600765,0.047449372760836765,0.4944548372034993,0.4445122121967858,2.220446049250313e-16,1.6653345369377348e-16
nvidia_a40,2,2,16,0.030644585513067743,0.02497177503569626,0.01555125906467176,0.16490782481997338,0.2776172951028391,4.440892098500626e-16,6.071532165918825e-17
nvidia_a40,2,2,17,0.02526533125906459,0.02251831862110808,0.010657490208582582,0.3283612515136396,0.2697769646960148,4.440892098500626e-16,2.8275992658421956e-16
nvidia_a40,2,2,18,0.011043212380697958,0.013628716869877903,0.007627406350285693,0.30718693793109136,0.35397513205251063,8.881784197001252e-16,9.280770596475918e-17
nvidia_a40,2,2,19,0.0329626658119575,0.028558213521202348,0.015464869781255386,0.7328521407486662,0.57827161189648,1.2490009027033011e-15,1.3877787807814457e-17
nvidia_a40,2,2,20,0.021362498091688803,0.023199416388074427,0.011796974610421344,0.34765054832505043,0.40918659290216863,4.440892098500626e-16,4.336808689942018e-17
nvidia_a40,2,2,21,0.014136676668222619,0.014481344706328687,0.00717711811860281,0.5254038164485425,0.4464925610994478,1.3322676295501878e-15,1.0408340855860843e-17
nvidia_a40,2,2,22,0.011595021509445995,0.0137528354305995,0.007394337989741746,0.5008723187248886,0.5553384145029243,1.2212453270876722e-15,4.597017211338539e-17
nvidia_a40,2,2,23,0.021251203012591077,0.017623487674605982,0.009193041013300625,0.4304598552838158,0.3824929122854265,1.1102230246251565e-15,2.6020852139652106e-17
nvidia_a40,2,2,24,0.029046988903367824,0.028819670769069335,0.016938580675153532,0.3247309216398241,0.2704289766149897,1.5543122344752192e-15,1.3183898417423734e-16
nvidia_a40,2,2,25,0.024453767788388016,0.021833594379037397,0.012464694892522584,0.45991130186569024,0.463914660936349,8.326672684688674e-16,8.326672684688674e-17
nvidia_a40,2,2,26,0.06599173836107859,0.059771512563577836,0.029611517070582506,0.3329559243477637,0.3372743323299551,3.3306690738754696e-16,6.938893903907228e-18
nvidia_a40,2,2,27,0.031241914040801524,0.02842186805619447,0.01478433473943445,0.36090631234665094,0.29494758804801413,8.881784197001252e-16,5.0306980803327406e-17
nvidia_a40,2,2,28,0.021357755290700015,0.018634529623706694,0.010562475170673507,0.3576286378814044,0.3926608477229827,1.2212453270876722e-15,6.938893903907228e-18
nvidia_a40,2,2,29,0.024932046360325307,0.01940591182477398,0.00964046922507219,0.40611325504995205,0.33045424425287173,1.3322676295501878e-15,9.020562075079397e-17
nvidia_a40,2,2,30,0.02543326406939503,0.020755069209991386,0.010569086961002293,0.48888473444554015,0.3658002256279021,5.551115123125783e-16,9.367506770274758e-17
nvidia_a40,2,2,31,0.03017413788627435,0.014396810953551255,0.010198041145252423,0.43055892364918413,0.3976748735194646,1.7763568394002505e-15,2.2551405187698492e-17
nvidia_a40,2,2,32,0.030399777572383657,0.01869922262753711,0.011227572625058321,0.4704512409965536,0.42212100720341844,1.7763568394002505e-15,2.0816681711721685e-17
nvidia_a40,2,2,33,0.030899884336568297,0.031363471220592486,0.018483858863467442,0.4031691756947494,0.39363991032015727,4.440892098500626e-16,4.163336342344337e-17
nvidia_a40,2,2,34,0.034441668951634634,0.03221278853782836,0.017289292029047637,0.3255828154436481,0.2917944937380343,4.440892098500626e-16,3.8163916471489756e-17
nvidia_a40,2,2,35,0.049867192963528574,0.04899971456856276,0.025729718908135652,0.798514268876937,0.5937083470058921,7.216449660063518e-16,5.204170427930421e-17
nvidia_a40,2,2,36,0.06264772294199461,0.05989434978438851,0.027250448742759965,0.6616168503955653,0.6524313895352727,5.551115123125783e-16,1.6306400674181987e-16
nvidia_a40,2,2,37,0.042679761940607824,0.03340912689850607,0.017239499668375884,0.28345908324388186,0.2889113426497615,4.440892098500626e-16,1.734723475976807e-17
nvidia_a40,2,2,38,0.03962347918056397,0.04394513753723941,0.024189517023460585,0.29904110735951667,0.2842404439097612,4.440892098500626e-16,1.3877787807814457e-17
nvidia_a40,2,2,39,0.021535692070146467,0.023786505769737492,0.01056312414666678,0.3590812910692359,0.33550566261907494,8.881784197001252e-16,7.979727989493313e-17
nvidia_a40,2,2,40,0.0431156693090581,0.04196659665009851,0.02168045477625649,0.26892107490515776,0.3914063193494742,3.608224830031759e-16,1.0755285551056204e-16
nvidia_a40,2,2,41,0.011418595354308765,0.011791276927969172,0.0075487983041065635,0.5553640512721317,0.5481770010776102,3.219646771412954e-15,6.331740687315346e-17
nvidia_a40,2,2,42,0.025308530904850256,0.01564270575573301,0.01000147099432447,0.4389756966085995,0.39863192540334874,8.743006318923108e-16,6.938893903907228e-17
nvidia_a40,2,2,43,0.047282471800283055,0.05592644359821726,0.030774277429582626,0.26634246743311335,0.27541228912254606,8.881784197001252e-16,1.249000902703301e-16
nvidia_a40,2,2,44,0.029151031748901417,0.020418716689595585,0.011562677035389645,0.49884284967160697,0.46400159870873364,6.661338147750939e-16,4.5102810375396984e-17
nvidia_a40,2,2,45,0.04612883766407073,0.043585576150535016,0.025594219274511738,0.36837164746271134,0.33087870039859424,4.440892098500626e-16,3.8163916471489756e-17
nvidia_a40,2,2,46,0.02259010529891488,0.021971115640742667,0.012650781560842102,0.29205360407851716,0.27068820986334596,6.661338147750939e-16,1.734723475976807e-18
nvidia_a40,2,2,47,0.0720017844153137,0.04501892762294532,0.031068518323399782,0.39075940257439895,0.29853158155898574,3.3306690738754696e-16,1.1796119636642288e-16
nvidia_a40,2,2,48,0.020944942653945114,0.018360834827228924,0.009747368752455137,0.34457027560651726,0.4534202029237384,7.771561172376096e-16,3.8163916471489756e-17
nvidia_a40,2,2,49,0.01633262147759145,0.018224782750142606,0.008714466262054386,0.24496524823901608,0.32893432218769586,4.440892098500626e-16,8.500145032286355e-17
nvidia_a40,2,2,50,0.02038718951456304,0.021531443085671714,0.01176027967776704,0.43807105023940895,0.3234324378459714,7.008282842946301e-16,3.9898639947466563e-17
nvidia_a40,2,2,51,0.019539604227997682,0.026662473445498273,0.012589010230208971,0.660363659659312,0.5567521627636792,1.2212453270876722e-15,7.112366251504909e-17
nvidia_a40,2,2,52,0.021663286636234912,0.012590977298396621,0.009727624465353992,0.4059030263386376,0.4007104385428481,1.3322676295501878e-15,9.194034422677078e-17
nvidia_a40,2,2,53,0.03697151050334089,0.02913882615771485,0.018552024323546457,0.2920638455995416,0.3297763535688264,3.3306690738754696e-16,4.163336342344337e-17
nvidia_a40,2,2,54,0.03700830230700965,0.037512627961113196,0.02034072667945436,0.31008896083262644,0.22829750300456844,4.440892098500626e-16,3.8163916471489756e-17
nvidia_a40,2,2,55,0.02970865780935327,0.025050116968117507,0.014823907707253073,0.3206288551828527,0.28300737203723536,6.661338147750939e-16,2.7755575615628914e-17
nvidia_a40,2,2,56,0.036149116630398964,0.0327289667376287,0.015923748127012083,0.4017999681689872,0.30699344733153183,3.3306690738754696e-16,8.326672684688674e-17
nvidia_a40,2,2,57,0.028592847666880167,0.026863997070036973,0.01365378397055522,0.28863691630538757,0.2478796382756383,4.440892098500626e-16,1.196959198423997e-16
