hardware,seed,K,sample_id,rel_u_phi,rel_u_psi,rel_sol,rel_phi,rel_psi,balance_max_abs,artifact_rel_sol_abs_difference
nvidia_a40,0,4,0,0.01404331275175398,0.015637995753278414,0.009125630372201706,0.22704269341805305,0.24841764159671748,8.881784197001252e-16,1.0581813203458523e-16
nvidia_a40,0,4,1,0.03999124568241353,0.021674912147621194,0.016554388191240395,0.44815037462204593,0.45166488949602984,4.440892098500626e-16,9.367506770274758e-17
nvidia_a40,0,4,2,0.009369322799130856,0.009886039201859364,0.007451874524035729,0.332048845741125,0.3365805718969638,1.5543122344752192e-15,2.862293735361732e-17
nvidia_a40,0,4,3,0.017145547692860284,0.010560361754009585,0.008798897183619602,0.43998237691530234,0.43634139758719687,8.326672684688674e-16,1.734723475976807e-18
nvidia_a40,0,4,4,0.0364133052178695,0.018691346189457482,0.01614209540104171,0.3466327701874692,0.3257956088633859,8.881784197001252e-16,1.0755285551056204e-16
nvidia_a40,0,4,5,0.02955233574837572,0.02382160555875499,0.014231571096918659,0.22862557808795392,0.23679058323689578,4.440892098500626e-16,5.898059818321144e-17
nvidia_a40,0,4,6,0.05289080474054764,0.027991860119987264,0.019494331357350507,0.28853462465032614,0.3632834403471501,4.440892098500626e-16,1.0755285551056204e-16
nvidia_a40,0,4,7,0.028983497518708573,0.023967359629577634,0.013657291836171209,0.41156316301183565,0.3629670640327964,4.3194614551822497e-16,8.673617379884035e-18
nvidia_a40,0,4,8,0.014661479331273344,0.016606197562190613,0.007940593555751975,0.463889943251568,0.3693739315398892,1.7763568394002505e-15,7.45931094670027e-17
nvidia_a40,0,4,9,0.009746601056297512,0.010573984744418423,0.008316139626406732,0.2746200529664462,0.3032702964390149,1.5543122344752192e-15,3.2959746043559335e-17
nvidia_a40,0,4,10,0.015540116036616272,0.014732732295768923,0.011585891820014346,0.25066524909536636,0.2790281957499995,1.3322676295501878e-15,4.5102810375396984e-17
nvidia_a40,0,4,11,0.02539813577500654,0.019314179541113547,0.011306876946442952,0.32580841159697604,0.3029327710218422,6.661338147750939e-16,5.204170427930421e-17
nvidia_a40,0,4,12,0.016128366712158317,0.016863700680770432,0.00956895177100021,0.251973615572655,0.21815553028753465,8.881784197001252e-16,1.1102230246251565e-16
nvidia_a40,0,4,13,0.009817495536042234,0.012544873737716426,0.007625873116690557,0.2968914103999143,0.3071657693188209,1.3322676295501878e-15,5.724587470723463e-17
nvidia_a40,0,4,14,0.05609989991048032,0.059805839364649636,0.02829680334195981,0.24262076532833288,0.24105880437158955,2.498001805406602e-16,1.0408340855860843e-17
nvidia_a40,0,4,15,0.09409915778170383,0.06335003317836113,0.03546320906818635,0.3705567836548068,0.33191722121190437,2.220446049250313e-16,1.457167719820518e-16
nvidia_a40,0,4,16,0.02171782606235384,0.017060399002641106,0.011346359385580417,0.15988666004895613,0.2881105306356389,6.661338147750939e-16,1.1622647289044608e-16
nvidia_a40,0,4,17,0.016497561055962513,0.015363544586357868,0.008999561569574042,0.3279146956396707,0.25708725552869804,6.661338147750939e-16,1.4224732503009818e-16
nvidia_a40,0,4,18,0.00929929747450325,0.009904251372111428,0.007556011051204932,0.2665971031679135,0.3206856779621538,8.881784197001252e-16,3.209238430557093e-17
nvidia_a40,0,4,19,0.03036449213921661,0.02182024346114151,0.014472222513525966,0.1902298138581261,0.21167820960687347,8.881784197001252e-16,1.6653345369377348e-16
nvidia_a40,0,4,20,0.02331755281020339,0.018129441971885856,0.009830870984936263,0.26269114463951426,0.31143696864792814,6.661338147750939e-16,6.245004513516506e-17
nvidia_a40,0,4,21,0.01092616561742875,0.011237221341959773,0.007742987640181482,0.29530771927016236,0.2545478134478157,1.3322676295501878e-15,8.239936510889834e-17
nvidia_a40,0,4,22,0.010243867949928548,0.011250000295453843,0.007576668141833321,0.2609084222537482,0.33250779077182446,8.881784197001252e-16,1.214306433183765e-16
nvidia_a40,0,4,23,0.015679523908015417,0.011700585033177453,0.008031236427783358,0.44313715638922574,0.39135214569799975,1.1102230246251565e-15,5.724587470723463e-17
nvidia_a40,0,4,24,0.020920153529876705,0.01614210870035556,0.010967663338751658,0.34612955480733015,0.27484917789513647,1.5543122344752192e-15,1.5785983631388945e-16
nvidia_a40,0,4,25,0.02487576615738079,0.014591442822097912,0.011022725928451384,0.2883825514212479,0.30850280690773046,4.440892098500626e-16,8.326672684688674e-17
nvidia_a40,0,4,26,0.04096318212576585,0.036903443408320434,0.018619703915344524,0.2895425430804847,0.3068965102062882,5.551115123125783e-16,1.249000902703301e-16
