hardware,seed,K,sample_id,rel_u_phi,rel_u_psi,rel_sol,rel_phi,rel_psi,balance_max_abs,artifact_rel_sol_abs_difference
mac_studio,3,2,0,0.018964074468885466,0.017949006429836285,0.010107662718412744,0.3135552819959571,0.31285042347026065,8.881784197001252e-16,1.43982048506075e-16
mac_studio,3,2,1,0.054708005924806354,0.04187728376619587,0.025428477332679757,0.46968961051268904,0.47520695206873115,4.440892098500626e-16,4.163336342344337e-17
mac_studio,3,2,2,0.01452021812848558,0.014927412466169705,0.00814704464735979,0.4721675644787322,0.4576737203266142,1.5543122344752192e-15,9.020562075079397e-17
mac_studio,3,2,3,0.02435644565394221,0.015204013437051852,0.009430558297437738,0.4980445277977432,0.4956477261126292,1.7763568394002505e-15,3.8163916471489756e-17
mac_studio,3,2,4,0.057787315348617176,0.03593150072404811,0.025989881149195652,0.3978437542237563,0.3861657999126695,4.440892098500626e-16,4.85722573273506e-17
mac_studio,3,2,5,0.05231406536014673,0.04542142855341828,0.024948133481851934,0.3391551326511383,0.33438978892291615,8.049116928532385e-16,3.469446951953614e-17
mac_studio,3,2,6,0.05828384852202271,0.042553314051653454,0.028052541855727236,0.45011903650590523,0.5482475043087536,4.440892098500626e-16,1.3530843112619095e-16
mac_studio,3,2,7,0.05794595556944013,0.03866760091927335,0.023330994532227978,0.45877995363819796,0.4094334610291655,4.3194614551822497e-16,2.0816681711721685e-17
mac_studio,3,2,8,0.021287752105559422,0.02399528671475794,0.010499422803806873,0.5159285070896332,0.41916443048947716,1.7763568394002505e-15,7.28583859910259e-17
mac_studio,3,2,9,0.012561658831551404,0.011853696685864858,0.007192409994360684,0.5368424862593859,0.5560378136030508,1.5543122344752192e-15,1.8474805019152996e-16
mac_studio,3,2,10,0.017917189583581548,0.017140073128898814,0.011263052314657974,0.5397195917167996,0.5440185425040166,1.3322676295501878e-15,7.45931094670027e-17
mac_studio,3,2,11,0.026187719695510977,0.029374256212190763,0.012773025368938484,0.35188294508182016,0.33835243124189435,6.661338147750939e-16,8.500145032286355e-17
mac_studio,3,2,12,0.01966830041473491,0.02262205564703332,0.01087165224333683,0.37338102014014163,0.31334249424695004,8.881784197001252e-16,1.3010426069826053e-16
mac_studio,3,2,13,0.014093702332952165,0.015304902995223952,0.00860530821598791,0.46770284548663493,0.4573977136009978,1.3322676295501878e-15,2.0990154059319366e-16
mac_studio,3,2,14,0.06589258357115892,0.06644813135970706,0.031828525768067106,0.414634829608537,0.40956836881954956,4.440892098500626e-16,2.0816681711721685e-16
mac_studio,3,2,15,0.08779657266086618,0.08466024352246168,0.048438008396387344,0.45255273486897685,0.4050844164179366,4.163336342344337e-16,5.551115123125783e-17
mac_studio,3,2,16,0.0385147627703689,0.024882545751726208,0.015893727818942018,0.3440386984850026,0.46642931271351373,4.440892098500626e-16,8.326672684688674e-17
mac_studio,3,2,17,0.02524859625561957,0.02411211733795051,0.011441292669717421,0.4305998978854255,0.34494567928495495,6.661338147750939e-16,1.214306433183765e-16
mac_studio,3,2,18,0.009889824749164736,0.014393269713959236,0.007544745933278583,0.47727151613198027,0.4977194348715879,1.6653345369377348e-15,8.326672684688674e-17
mac_studio,3,2,19,0.025475067726701217,0.03151085394102708,0.014969141073267429,0.57670519706633,0.47041360488215367,8.881784197001252e-16,7.112366251504909e-17
mac_studio,3,2,20,0.0388586182725674,0.02726148884125885,0.015348426960620354,0.3810721076538852,0.45189438770384743,4.440892098500626e-16,5.377642775528102e-17
mac_studio,3,2,21,0.013704885529023969,0.014631202091708997,0.007119715672285752,0.483949432163485,0.41492673443892464,1.3322676295501878e-15,1.5178830414797062e-16
mac_studio,3,2,22,0.013396733161599379,0.015907026544062203,0.0073422594661631075,0.5163963596854602,0.5742728012509493,1.2212453270876722e-15,1.0755285551056204e-16
mac_studio,3,2,23,0.024587337360543624,0.017073616740620953,0.009655559478471305,0.5344469141059258,0.47530946368141636,1.1102230246251565e-15,1.0581813203458523e-16
mac_studio,3,2,24,0.03364523788828193,0.029853456481168012,0.019123748202302778,0.4094490718783086,0.3394665868307587,1.5543122344752192e-15,1.7694179454963432e-16
mac_studio,3,2,25,0.029050206965954842,0.021830561855645435,0.013175111317276767,0.4599691413020278,0.46695160394307555,8.326672684688674e-16,6.765421556309548e-17
mac_studio,3,2,26,0.06905189914803991,0.06159352366223776,0.030273676042810886,0.3598111051300577,0.3683476364349966,3.3306690738754696e-16,1.8735013540549517e-16
mac_studio,3,2,27,0.025696247002179314,0.027257266559649888,0.012392117478654022,0.376356139477499,0.30454462810559335,8.881784197001252e-16,2.2551405187698492e-17
mac_studio,3,2,28,0.024810180080900586,0.020362572407844587,0.010693340190510764,0.3974946271006863,0.4343828187824667,1.2212453270876722e-15,6.418476861114186e-17
mac_studio,3,2,29,0.028026130259755457,0.02139866108417229,0.010357343363678584,0.4421851473414069,0.3710378915970783,1.3322676295501878e-15,8.326672684688674e-17
mac_studio,3,2,30,0.028929716861224124,0.020503483077504946,0.011295935317801346,0.5202932156374143,0.3916925993318592,5.551115123125783e-16,4.683753385137379e-17
mac_studio,3,2,31,0.020500857222352405,0.013432426779401836,0.00859554204755772,0.47564288225553675,0.4404725706094388,1.7763568394002505e-15,1.9081958235744878e-17
mac_studio,3,2,32,0.029711347578853336,0.017983955075707055,0.011558981451423827,0.5324875798571028,0.4894749175912086,1.7763568394002505e-15,2.6020852139652106e-17
mac_studio,3,2,33,0.032904187611999994,0.03184991395186285,0.018426710813462296,0.41983573980981237,0.4116648424037224,4.440892098500626e-16,9.71445146547012e-17
mac_studio,3,2,34,0.03748998966153476,0.04055533001820031,0.020112782096973383,0.3784549480025733,0.3496803811366093,4.440892098500626e-16,1.734723475976807e-17
mac_studio,3,2,35,0.04143614901250516,0.04363419273326834,0.02175200046988507,0.689456385162463,0.518898810824157,7.216449660063518e-16,2.671474153004283e-16
mac_studio,3,2,36,0.08381608096781414,0.06750732424163987,0.034131121410251854,0.6758824343386186,0.6647510453780944,1.2212453270876722e-15,2.5673907444456745e-16
mac_studio,3,2,37,0.037907594730597724,0.02989600385604856,0.016553495893927125,0.3328941347937315,0.34831862096246335,5.551115123125783e-16,7.632783294297951e-17
mac_studio,3,2,38,0.04936665032739824,0.03826999351483261,0.02201155782920854,0.29104541917058474,0.27653272349651703,4.440892098500626e-16,1.3877787807814457e-16
mac_studio,3,2,39,0.022998329286698538,0.021833952068457892,0.00971679447723853,0.4877807426714111,0.43600624149406936,8.881784197001252e-16,3.122502256758253e-17
mac_studio,3,2,40,0.04515681921221667,0.0466494666144499,0.024660679559130365,0.33797855638629754,0.48542008200118997,3.608224830031759e-16,6.591949208711867e-17
mac_studio,3,2,41,0.015758767552183722,0.012771246142021148,0.007695783116148151,0.5509994025296567,0.5476592216610998,3.219646771412954e-15,2.5153490401663703e-16
mac_studio,3,2,42,0.02682336780118039,0.015118243242467662,0.009830669053529788,0.4653098158620423,0.4272462076587861,1.3322676295501878e-15,8.847089727481716e-17
mac_studio,3,2,43,0.052451486904010754,0.05718018751221457,0.03170489925200721,0.3079728209716485,0.3239792805266451,8.881784197001252e-16,1.1102230246251565e-16
mac_studio,3,2,44,0.024686954338187177,0.02014546121857,0.011027730335576266,0.5422762789574528,0.5112678907178754,1.5543122344752192e-15,6.591949208711867e-17
mac_studio,3,2,45,0.046576033764153896,0.03411530307204367,0.0235751626220733,0.34839885785603814,0.3153029634240962,2.220446049250313e-16,1.97758476261356e-16
mac_studio,3,2,46,0.03180686294474182,0.025487045435902883,0.015614639069068289,0.4109503533505203,0.353638064049357,6.661338147750939e-16,1.0408340855860843e-17
