hardware,K,steady_epoch_seconds,trainer_wall_hours,optimizer_ms,peak_device_memory_mib,rel_sol_mean
mac_studio,0,227.25,6.345,175.81075856229293,0.0,0.04125477859329023
mac_studio,1,155.0,4.3197222222222225,174.1316974982813,0.0,0.02976908039538958
mac_studio,2,186.0,5.1575,178.66082597713103,0.0,0.01590749180318899
mac_studio,3,210.0,5.799166666666666,176.21879525807648,0.0,0.012805714036030775
mac_studio,4,237.0,6.569861111111111,178.0029363487362,0.0,0.011939927108849405
mac_studio,5,270.0,7.425416666666667,185.08211684088263,0.0,0.011154969678625979
mac_studio,9,341.0,9.570972222222222,190.04936770414741,0.0,0.00912562045998705
mac_studio,10,359.0,9.965555555555556,192.3233012086227,0.0,0.008804406729435176
nvidia_a40,0,250.5,6.990833333333334,72.39066662887733,10529.69677734375,0.04199853468478762
nvidia_a40,1,189.5,5.357916666666666,77.60775689966977,11405.97705078125,0.030759372071478212
nvidia_a40,2,201.0,5.551527777777778,77.85399371137223,11629.95263671875,0.015741012674592887
nvidia_a40,3,212.0,5.8973611111111115,80.08876029091577,11727.0966796875,0.012905331872159979
nvidia_a40,4,226.5,6.1675,84.36166345452267,11839.1767578125,0.011968782537985955
nvidia_a40,5,225.75,6.291805555555555,81.11697399988772,13384.24609375,0.01107063060310227
nvidia_a40,9,264.5,7.351388888888889,84.65571047738194,14078.46044921875,0.009171203516534405
nvidia_a40,10,277.5,7.715138888888889,86.53683692837754,14255.92431640625,0.008769798703646761
