from_K,to_K,seed,rel_sol_reduction,rel_flux_reduction,energy_reduction
0,1,0,0.26890175019897467,-0.00596512641594793,0.39034619267983517
0,1,1,0.28458047490584504,0.08180318964290945,0.40261648390220417
0,1,2,0.2663535817217292,0.20445657622099223,0.4114987182620359
0,1,3,0.2720419552033203,0.02695039224633422,0.4159414730069003
1,2,0,0.47600549039870665,0.20527575836292367,0.4753344109172034
1,2,1,0.4626071617216244,0.24190719411066275,0.4635814461734026
1,2,2,0.5000954533805497,-0.01102337489296068,0.44810186851768186
1,2,3,0.46870915283438896,-0.0031556734858591007,0.4388724310930805
2,3,0,0.18005798252120297,0.04908812207846036,0.22694042328170572
2,3,1,0.19974744982228965,0.012102423935730466,0.24497301323204723
2,3,2,0.1802352485569061,0.13886559129861764,0.24803023008728697
2,3,3,0.19010799589673322,0.22538104855847885,0.2822626887705525
3,4,0,0.06452564126571303,0.034503470064055186,0.17534518091976503
3,4,1,0.05787936629514068,-0.07136127734532338,0.1522491938481152
3,4,2,0.08072620808978515,0.09526671062127401,0.15254136099512094
3,4,3,0.07746918808656089,0.015441225418638238,0.1399638697309048
4,5,0,0.09232888759632651,-0.06300821868190165,0.14703064145635947
4,5,1,0.06286209916284169,0.07011882311048756,0.14969766981645505
4,5,2,0.05720747220587763,0.02072680662634685,0.1309147494994275
4,5,3,0.06872272926749767,-0.016980537604451396,0.12073003421722528
5,9,0,0.17804658321333777,-0.03659343020849826,0.6168851527109919
5,9,1,0.19263309247457872,-0.11496533201698411,0.6206279349869737
5,9,2,0.16514475294626363,-0.13217020954170677,0.603525697538927
5,9,3,0.17077059663840455,0.23574860026528544,0.6273228842400613
9,10,0,0.0320630369808077,0.2529963611533076,0.08180128051201685
9,10,1,0.0403244695735262,0.18196100227452083,0.06655144833120852
9,10,2,0.05521313082846557,0.07109429688685787,0.18148943899443348
9,10,3,0.030002480367079087,0.04100073585529196,0.07242634205056764
