sample_id,file_stem,target_balance_relative_rhs,balance_constrained_rel_flux_lower_bound
0,sample_000000,0.12215074922325289,0.07755907144073972
1,sample_000001,0.045522254509728674,0.03365818434569408
2,sample_000002,0.1602634404316214,0.07663820050557302
3,sample_000003,0.1638543498049335,0.07800451042238168
4,sample_000004,0.07097826248838615,0.04550823360299632
5,sample_000005,0.11917496045429361,0.07828144528854103
6,sample_000006,0.09784629753558688,0.06682577142959356
7,sample_000007,0.050276220000737976,0.036548736532581866
8,sample_000008,0.1473191843542243,0.07760367937669174
9,sample_000009,0.17850881504475033,0.08519119488077606
10,sample_000010,0.12567341614374344,0.0681371616435357
11,sample_000011,0.08442541025508345,0.056966960663932184
12,sample_000012,0.14010618278354559,0.09034868580512904
13,sample_000013,0.14601315048445954,0.07123067208017167
14,sample_000014,0.06436794513329078,0.047935749707911535
15,sample_000015,0.02979959256259684,0.02352501055359076
16,sample_000016,0.10422519535987665,0.06837162016736721
17,sample_000017,0.13108346578646646,0.08093797588545887
18,sample_000018,0.17093717097852254,0.08452231571485981
19,sample_000019,0.12286341289344369,0.07873527448268137
20,sample_000020,0.0904805726113798,0.06103368284930142
21,sample_000021,0.16856333208759106,0.0871251055136173
22,sample_000022,0.18859448759372505,0.09011730378705199
23,sample_000023,0.17749409468137542,0.08419795607776712
24,sample_000024,0.12635973412920418,0.08152207847051764
25,sample_000025,0.1435963543486556,0.08249644411319251
26,sample_000026,0.03590455894571597,0.025511688044753726
27,sample_000027,0.07579367528905358,0.045848908302223323
28,sample_000028,0.13141854030960923,0.06739181214260889
29,sample_000029,0.11661959586989552,0.06724729504693665
30,sample_000030,0.12996247117900056,0.07006300651095772
31,sample_000031,0.16545701923825296,0.0809538657009818
32,sample_000032,0.07916270937454158,0.04644332393214898
33,sample_000033,0.0772503146387345,0.04765980022220082
34,sample_000034,0.0886927952187898,0.05841947481211967
35,sample_000035,0.09603364120608533,0.06441709430838385
36,sample_000036,0.14618218326207597,0.0915800127557932
37,sample_000037,0.07918919980825491,0.05473941780706943
38,sample_000038,0.06609154524719978,0.04754598991739361
39,sample_000039,0.13326339845005764,0.06668473895470613
40,sample_000040,0.07308370072094925,0.054070086386954555
41,sample_000041,0.212222655277528,0.09485085914440261
42,sample_000042,0.12115106773778839,0.06021856459677099
43,sample_000043,0.0412981931544706,0.03339525632520391
44,sample_000044,0.10459351024633763,0.05573927013510525
45,sample_000045,0.07154097379268129,0.05270930370861312
46,sample_000046,0.17107771692645665,0.09755316296771557
47,sample_000047,0.04667663658620784,0.031978520210356416
48,sample_000048,0.10702512183156361,0.06771341019900805
49,sample_000049,0.13940514144821115,0.08225636572484207
50,sample_000050,0.10244741889862731,0.06213432110857028
51,sample_000051,0.16489588861084786,0.0956840747626395
52,sample_000052,0.16867705571174638,0.08300265905325245
53,sample_000053,0.1725223459875527,0.09788703578636974
54,sample_000054,0.1568949114025556,0.09531123864308279
55,sample_000055,0.05622811606476727,0.03644689559390163
56,sample_000056,0.04892710213556316,0.034924134943162
57,sample_000057,0.14133549041469895,0.08780897436332898
58,sample_000058,0.15914168071777132,0.09196374335661563
59,sample_000059,0.07670917379769088,0.05146954277743811
60,sample_000060,0.11321633075754552,0.06328380086872058
61,sample_000061,0.15689156656690806,0.08014289804957514
62,sample_000062,0.06799611529284567,0.045885232771535
63,sample_000063,0.13312164993684614,0.07691718926697012
64,sample_000064,0.1721978334633469,0.08071397165197024
65,sample_000065,0.07255249956952853,0.04232415596609965
66,sample_000066,0.10335298823685697,0.06327014890007723
67,sample_000067,0.054836085505233334,0.04031751026359631
68,sample_000068,0.10751877331842487,0.057975543156022644
69,sample_000069,0.13682436042589488,0.07049038538950114
70,sample_000070,0.1816598748899956,0.0954686487348649
71,sample_000071,0.09558329902311119,0.06483818891000144
72,sample_000072,0.09823572570840479,0.0654880872797819
73,sample_000073,0.16231858355317877,0.08320582033880941
74,sample_000074,0.16646057722260893,0.09462810242346227
75,sample_000075,0.16122765032022335,0.08490164305921379
76,sample_000076,0.03993445279498728,0.030225275042658428
77,sample_000077,0.05320704496631558,0.04049925293169521
78,sample_000078,0.15804846652940244,0.09171287997738885
79,sample_000079,0.11324896016602912,0.05738025913626706
80,sample_000080,0.09806018015916591,0.06456157355708429
81,sample_000081,0.06391859949084569,0.04559259871883999
82,sample_000082,0.08765503656650274,0.055842867037737144
83,sample_000083,0.038667333998333386,0.027333825508655152
84,sample_000084,0.0587434628516433,0.038960665218170175
85,sample_000085,0.17618886444778928,0.08820225627748883
86,sample_000086,0.043465523618434226,0.032113849451623384
87,sample_000087,0.0921198438785783,0.05511726147354737
88,sample_000088,0.14524754862534883,0.07359301508731671
89,sample_000089,0.0670352461389288,0.04577203645153093
90,sample_000090,0.17658083166361663,0.08493734615929315
91,sample_000091,0.11447142619632841,0.07632469842947116
92,sample_000092,0.16960268486296887,0.0804964548960001
93,sample_000093,0.07453559787786797,0.04358492434512447
94,sample_000094,0.17552900961695106,0.09221019940141786
95,sample_000095,0.08914408332051076,0.0518593611249963
96,sample_000096,0.16767511871864285,0.08591370605789332
97,sample_000097,0.059376491300725004,0.03905704922997324
98,sample_000098,0.10911794154708858,0.06076519863446693
99,sample_000099,0.10299059555852592,0.07069154235024282
