K,rel_sol_mean_mean,rel_sol_mean_std,rel_sol_equal_mean_mean_mean,rel_sol_equal_mean_mean_std,rel_flux_mean_mean,rel_flux_mean_std,rel_sol_p95_mean,rel_sol_p95_std,rel_sol_max_mean,rel_sol_max_std,loss_mean_mean,loss_mean_std,loss_energy_boundary_mean_mean,loss_energy_boundary_mean_std,best_epoch_mean,best_epoch_std,val_end_over_best_mean,val_end_over_best_std,steady_epoch_seconds_mean,steady_epoch_seconds_std,trainer_wall_hours_mean,trainer_wall_hours_std,weak_relative_improvement_mean,weak_relative_improvement_std,rel_u_phi_mean_mean,rel_u_phi_mean_std,rel_u_psi_mean_mean,rel_u_psi_mean_std,rel_phi_mean_mean,rel_phi_mean_std,rel_psi_mean_mean,rel_psi_mean_std
0,0.041626656639038924,0.0008529642577285506,0.0445191592399623,0.000799451465808088,0.45310952463550636,0.030183428036157357,0.07445117892533368,0.0030635705633710957,0.11560093893189763,0.009210838130615281,6.76185018034905e-05,1.0260696622825667e-06,7.711639092529768e-05,2.7022041291184446e-06,97.75,3.304037933599836,1.0003457791845207,0.0006128615807651888,238.875,13.431151601159646,6.667916666666667,0.3736031253449173,0.06500086423461873,0.0037340082024307354,0.08325928840034587,0.0006905508105598481,0.07400264420960839,0.0009028927471626735,0.4583735741868932,0.030268383308606445,0.44784547508411837,0.030101716418321878
1,0.030264226233433895,0.0007304428365817484,0.032173977014293954,0.0006864830428455293,0.4163478051613095,0.020277420955075308,0.06183726469065963,0.002951139542603379,0.1163025248342248,0.00429020886004796,4.022093492549318e-05,6.184185132999365e-07,3.332073413959334e-05,1.4391273969749188e-06,65.0,4.546060565661952,1.0289686468972161,0.008265599830736485,172.25,19.922767545365446,4.838819444444445,0.599520100218369,0.05939807837200567,0.002769686105369295,0.051298104416797996,0.0010515857469207066,0.05169237944852802,0.000999863032524814,0.42179144292783977,0.020943961717533006,0.41090416739477986,0.01962018909148293
2,0.01582425223889094,0.00020852208578517358,0.018516341191083002,0.00021372957659070225,0.3699498661591923,0.04669947800804351,0.031090499539895202,0.0015843906126852825,0.04940296377478433,0.001913874206137085,2.1856229835412992e-05,5.001188351572335e-07,2.519494038411015e-05,2.1222797575819075e-06,50.75,3.304037933599835,1.176125434435508,0.029616653377228866,193.5,8.660254037844387,5.354513888888889,0.22749342854435226,0.14538424394664337,0.006421640309774822,0.032757449904680436,0.0003792419192805665,0.02853290126633315,0.0003651823310170818,0.3740041255555496,0.04906733510151813,0.3658956067628345,0.0443523549741618
3,0.012855522954095377,0.0001151359582800107,0.015490760475460264,0.00015977848513348329,0.3272757125442075,0.007522884664526723,0.02352873053760453,0.001392216613093578,0.0367741156587146,0.0025552591234102883,1.6375211816442578e-05,4.2802585014375365e-07,2.1438002790984068e-05,1.7387188301043971e-06,52.0,5.656854249492381,1.212954315680578,0.06496892125122261,211.0,3.4641016151377575,5.848263888888889,0.1068828285704022,0.17010530515220687,0.0027470344423915936,0.027042165774472535,0.00036876622792725994,0.021891996704738494,0.00013414658533959244,0.3298583861739402,0.00865967752493717,0.3246930389144749,0.0068107147848611065
4,0.01195435482341768,0.00022636053903118814,0.014437279813198575,0.0002296070075126323,0.3210010838922961,0.019087810255038078,0.02043291687157093,0.001551952642177149,0.03277981746226183,0.0023245143979940186,1.3834286391463131e-05,3.224486290548343e-07,2.0103055961761508e-05,1.406272180679533e-06,59.0,3.366501646120693,1.1105420062308717,0.009808982682460523,231.75,6.18465843842649,6.368680555555556,0.23274234847058892,0.17200318315201313,0.004665112920224243,0.024960087205776676,0.00034298873548084145,0.019040258651004654,0.00018984195721820262,0.3229758950638245,0.019359161343160017,0.31902627272076794,0.01885668195102708
5,0.011112800140864125,0.00019336457333893713,0.013254671512892984,0.0001909365041965566,0.3195875912419252,0.01470941606452167,0.01899216201079959,0.0010701550633953495,0.030824983578911398,0.003273378073030352,1.193828408576297e-05,3.636812446696614e-07,1.5635591652483898e-05,1.394047636835507e-07,56.75,5.619905100029123,1.1154806144868956,0.051128674022597985,247.875,25.58767607006675,6.858611111111111,0.6545226089899511,0.16161124629724152,0.005256590148786214,0.02217717067573526,0.000260854937844947,0.01706728677612266,0.00022599555599716193,0.32208943935636836,0.013529332730452778,0.31708574312748095,0.015999024834492698
9,0.009148411988260727,0.00010197277726852219,0.009918715501768021,0.00012430198502705336,0.32222750384730897,0.047522670457367834,0.011495139027502073,0.0002060789695276797,0.014121403708495775,0.00045325359715724204,4.572988200045056e-06,2.367091968268041e-07,4.346103992446192e-06,2.005438811555635e-07,90.25,14.974979131871939,1.0099987848817147,0.018642290431294194,302.75,44.31986010808247,8.461180555555554,1.2846060382899929,0.0776491274382465,0.0017123172138164779,0.013434858819411059,0.00022176268947096656,0.011946699930679216,0.0001643781379161299,0.3277098901757203,0.048250571186273815,0.3167451175188978,0.04680217110243169
10,0.008787102716540969,2.3756408864747253e-05,0.009515267202529067,3.506065576696564e-05,0.2758118318246195,0.03350096614213274,0.010914208695840772,0.00015561815298158684,0.0135951277178456,0.0006580885296006582,4.103538942821328e-06,5.641933543144793e-08,3.97037969214999e-06,1.2054955150257172e-07,99.0,1.1547005383792515,1.0003909412875789,0.00068880621531197,318.25,47.450851766152034,8.840347222222222,1.3094227864572296,0.07652302346179654,0.001329410917679431,0.012774885537318563,7.65549000730073e-05,0.011230500856801919,5.182486081063755e-05,0.28071561224467784,0.03302352035405433,0.27090805140456153,0.03399159332770805
