epoch,global_step,step_in_epoch,split,validation_index,loss,boundary_weight,loss_energy_optimized,loss_energy_consistency,loss_energy_bulk,loss_energy_boundary,loss_energy_boundary_x,loss_energy_boundary_y,learning_rate,optimizer_step_time_mean_ms,optimizer_step_time_p95_ms,optimizer_step_time_max_ms,optimizer_step_count,optimizer_basis_refresh_count,optimizer_peak_memory_mib,learning_rate_first,learning_rate_last,seed,K,hardware,tangent_response_mismatch_pre,tangent_response_mismatch_post,tangent_response_mismatch_ratio,tangent_gradient_rms,tangent_delta_rms,tangent_delta_max_abs,tangent_correction_rel_symmetric_pair,tangent_eta_cap_enabled,tangent_eta_star_mean,tangent_eta_applied_mean,tangent_eta_cap_fraction,tangent_line_search_numerator_mean,tangent_line_search_denominator_mean,tangent_subspace_dimension,tangent_coefficient_0_mean,tangent_coefficient_1_mean,tangent_direction_0_active_fraction,tangent_direction_1_active_fraction,tangent_second_direction_active_fraction,tangent_response_cost_k1_mean,tangent_response_cost_k2_mean,tangent_response_cost_k2_over_k1,tangent_response_orthogonality_max,tangent_coefficient_2_mean,tangent_direction_2_active_fraction,tangent_response_cost_k3_mean,tangent_response_cost_k3_over_k2,tangent_coefficient_3_mean,tangent_direction_3_active_fraction,tangent_response_cost_k4_mean,tangent_response_cost_k4_over_k3,tangent_coefficient_4_mean,tangent_direction_4_active_fraction,tangent_response_cost_k5_mean,tangent_response_cost_k5_over_k4,tangent_coefficient_5_mean,tangent_coefficient_6_mean,tangent_coefficient_7_mean,tangent_coefficient_8_mean,tangent_direction_5_active_fraction,tangent_direction_6_active_fraction,tangent_direction_7_active_fraction,tangent_direction_8_active_fraction,tangent_response_cost_k6_mean,tangent_response_cost_k6_over_k5,tangent_response_cost_k7_mean,tangent_response_cost_k7_over_k6,tangent_response_cost_k8_mean,tangent_response_cost_k8_over_k7,tangent_response_cost_k9_mean,tangent_response_cost_k9_over_k8,tangent_coefficient_9_mean,tangent_direction_9_active_fraction,tangent_response_cost_k10_mean,tangent_response_cost_k10_over_k9
7,168,24,val,7.0,0.0055939856121867,0.0,0.0055939856121867,0.0102683448083871,0.0055939856121867,0.0046743591962003,0.0006931279598081,0.0039812312363922,0.0014,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,168,24,train,,0.0176064634591449,0.0,0.0176064634591449,0.0334892521680899,0.0176064634591449,0.015882788708945,0.0011640704054032,0.0147187183035418,0.0014,68.78653137634198,106.53785094618796,106.63913935422896,24.0,8.0,8767.83251953125,0.0012083333333333,0.0014,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,192,24,val,8.0,0.0016137703031193,0.0,0.0016137703031193,0.0038214760677311,0.0016137703031193,0.0022077057646118,0.0001437345173819,0.0020639712472299,0.0016,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,192,24,train,,0.0029925937071669,0.0,0.0029925937071669,0.0057291233910797,0.0029925937071669,0.0027365296839127,0.0002845131313445,0.0024520165525682,0.0016,78.97238371272881,134.67167504131794,152.9531627893448,24.0,8.0,8767.83251953125,0.0014083333333333,0.0016,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,216,24,val,9.0,0.0008788583819321,0.0,0.0008788583819321,0.002216561177104,0.0008788583819321,0.0013377027951719,7.935884994205776e-05,0.0012583439452298,0.0018,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,216,24,train,,0.0012031101106766,0.0,0.0012031101106766,0.0030175132464629,0.0012031101106766,0.0018144031357862,0.0001067720519224,0.0017076310838638,0.0018,76.4662961785992,134.9894933402538,137.13961839675903,24.0,8.0,8767.83251953125,0.0016083333333333,0.0018,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,240,24,val,10.0,0.0005371218872083,0.0,0.0005371218872083,0.0009593386051124,0.0005371218872083,0.0004222167179041,6.098743547846284e-05,0.0003612292824256,0.002,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,240,24,train,,0.0007000339270312,0.0,0.0007000339270312,0.0015345422261192,0.0007000339270312,0.000834508299088,6.895447007437204e-05,0.0007655538290136,0.002,72.0391208305955,123.38354326784608,125.42447447776794,24.0,8.0,8767.83251953125,0.0018083333333333,0.002,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,264,24,val,11.0,0.0003793159138377,0.0,0.0003793159138377,0.0006618052211396,0.0003793159138377,0.0002824893073019,4.733995396288463e-05,0.000235149353339,0.0019994428108123,,,,,,,,,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,264,24,train,,0.0004553052869497,0.0,0.0004553052869497,0.0008025931097196,0.0004553052869497,0.0003472878227699,5.222692481876078e-05,0.0002950608979511,0.0019994428108123,83.78028590232134,148.09577651321888,148.25357496738434,24.0,8.0,8767.83251953125,0.002,0.0019994428108123,0,0,nvidia_a40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
