hardware,seed,K,sample_id,rel_u_phi,rel_u_psi,rel_sol,rel_phi,rel_psi,balance_max_abs,artifact_rel_sol_abs_difference
nvidia_a40,2,1,0,0.04630854839015308,0.04088608309467075,0.0248155168405932,0.305343624869973,0.303432012504923,8.881784197001252e-16,1.0061396160665481e-16
nvidia_a40,2,1,1,0.08207625440087275,0.07813771054962058,0.0452477606302673,0.47026187205584274,0.4771974537672874,4.440892098500626e-16,1.0408340855860843e-16
nvidia_a40,2,1,2,0.023313807198857044,0.025241771353832623,0.014545107627938519,0.40028468799346845,0.3891113834510566,1.3322676295501878e-15,8.153200337090993e-17
nvidia_a40,2,1,3,0.032291087322774865,0.040572129064828336,0.020692090630316688,0.5544170799857496,0.5442534459314342,8.326672684688674e-16,2.1163626406917047e-16
nvidia_a40,2,1,4,0.07674574146530817,0.09593207578445086,0.05950495630870028,0.4814030586908335,0.4815470293847461,4.440892098500626e-16,7.632783294297951e-17
nvidia_a40,2,1,5,0.10778885764525999,0.14332059675912898,0.0840467030269626,0.295249369917429,0.30065229111311637,4.440892098500626e-16,5.967448757360216e-16
nvidia_a40,2,1,6,0.11137578459024157,0.09969284052246309,0.06191126009737004,0.36918613904121267,0.4623426466833387,4.440892098500626e-16,2.636779683484747e-16
nvidia_a40,2,1,7,0.09152029955331674,0.06731143966184112,0.04420114168298982,0.5236806653255148,0.4702416600976859,4.3194614551822497e-16,1.3877787807814457e-17
nvidia_a40,2,1,8,0.045074008615158374,0.053062743065489915,0.03039299421047038,0.4633444839764734,0.3612813410004811,6.661338147750939e-16,1.214306433183765e-16
nvidia_a40,2,1,9,0.021306312271080017,0.01879100723902111,0.010172098779241722,0.3948148770705483,0.410837219547547,1.5543122344752192e-15,2.2551405187698492e-17
nvidia_a40,2,1,10,0.034989330378907356,0.03338984745207892,0.020808215446895893,0.38117094502243015,0.3875331999110176,4.440892098500626e-16,1.0755285551056204e-16
nvidia_a40,2,1,11,0.04506021984540202,0.0679301333808635,0.03379050062742114,0.4081977922192267,0.39466944354405764,6.661338147750939e-16,3.469446951953614e-17
nvidia_a40,2,1,12,0.0497069135324846,0.053201412412916274,0.03635189957669599,0.26934328594363155,0.2358249302824431,8.881784197001252e-16,1.3877787807814457e-17
nvidia_a40,2,1,13,0.03153602662525983,0.02677669351189938,0.016513545204054136,0.39998510727513065,0.38869257513144445,1.3322676295501878e-15,1.3530843112619095e-16
nvidia_a40,2,1,14,0.1532158540556869,0.14985972695464506,0.10568096873667984,0.2941503854631564,0.2895417799097487,2.498001805406602e-16,2.636779683484747e-16
nvidia_a40,2,1,15,0.2058821343622655,0.15550467604300527,0.11867417138830777,0.39329381802095176,0.35355542203695894,2.220446049250313e-16,6.661338147750939e-16
